                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5184,                  2.492,                 1.8761,                0.38646,                0.09371,                0.02834,                0.00659,                  3.053,                 4.1328,                 3.8393,             0.00047541,             0.00047541,             0.00047541
                      2,                 1.7359,                 2.7528,                 2.0697,                0.45652,                0.13907,                0.08466,                0.03005,                 2.3691,                 3.6166,                 3.1062,             0.00093918,             0.00093918,             0.00093918
                      3,                 1.6854,                 2.7064,                 2.0362,                0.52716,                  0.158,                0.13615,                0.06001,                 2.2035,                 3.1939,                 2.9173,              0.0013904,              0.0013904,              0.0013904
                      4,                  1.604,                 2.5704,                 1.9561,                0.56096,                0.19454,                0.16588,                0.07792,                 1.9196,                 2.9573,                 2.4985,              0.0013724,              0.0013724,              0.0013724
                      5,                 1.5156,                 2.4329,                  1.878,                0.68916,                0.18422,                0.24792,                0.12681,                 1.8275,                 2.5538,                 2.3455,              0.0013535,              0.0013535,              0.0013535
                      6,                 1.4775,                 2.3642,                 1.8474,                0.68836,                0.20808,                0.26772,                0.14111,                 1.7077,                 2.5065,                 2.2607,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.4367,                 2.3038,                 1.8267,                0.36167,                0.35411,                0.33249,                0.17082,                 1.7545,                 2.3499,                 2.2775,              0.0013158,              0.0013158,              0.0013158
                      8,                 1.3977,                 2.2441,                 1.7889,                0.47916,                0.31412,                0.35395,                0.17947,                 1.6398,                 2.4267,                 2.1052,               0.001297,               0.001297,               0.001297
                      9,                 1.3604,                 2.1631,                 1.7572,                0.36125,                0.37972,                0.36591,                0.20308,                 1.6213,                 2.1705,                 2.0444,              0.0012781,              0.0012781,              0.0012781
                     10,                 1.3459,                 2.1229,                 1.7396,                0.60192,                0.35452,                0.38364,                0.21514,                  1.564,                 2.2051,                 2.0438,              0.0012592,              0.0012592,              0.0012592
                     11,                 1.3374,                 2.0694,                 1.7203,                0.72927,                0.30497,                0.39093,                0.23356,                 1.5184,                  2.159,                 1.9667,              0.0012404,              0.0012404,              0.0012404
                     12,                  1.323,                 2.0586,                 1.7121,                0.70297,                0.36197,                0.43967,                0.26149,                 1.4622,                 2.0496,                 1.9062,              0.0012215,              0.0012215,              0.0012215
                     13,                 1.2845,                 1.9694,                 1.6846,                0.47267,                0.45505,                0.43394,                0.25394,                 1.4894,                 2.0099,                 1.9296,              0.0012026,              0.0012026,              0.0012026
                     14,                 1.2655,                 1.9406,                 1.6735,                 0.4432,                0.43264,                0.41662,                 0.2557,                 1.4187,                 1.9588,                 1.8461,              0.0011838,              0.0011838,              0.0011838
                     15,                 1.2435,                 1.9001,                 1.6487,                0.65265,                 0.3848,                0.46919,                0.29401,                 1.3949,                 1.9374,                 1.8258,              0.0011649,              0.0011649,              0.0011649
                     16,                 1.2343,                 1.8638,                 1.6364,                0.71999,                0.40563,                0.48798,                0.31615,                  1.357,                 1.8741,                 1.7961,              0.0011461,              0.0011461,              0.0011461
                     17,                 1.2182,                 1.8117,                 1.6326,                0.51002,                0.45447,                0.47192,                0.30641,                 1.3619,                  1.881,                 1.7887,              0.0011272,              0.0011272,              0.0011272
                     18,                 1.1966,                 1.7841,                 1.6063,                0.49796,                0.45964,                0.48036,                0.30741,                 1.3938,                 1.7897,                 1.8199,              0.0011083,              0.0011083,              0.0011083
                     19,                 1.1891,                 1.7548,                 1.6044,                0.57424,                0.51563,                0.53643,                0.34374,                 1.3088,                 1.7164,                 1.7488,              0.0010895,              0.0010895,              0.0010895
                     20,                 1.1851,                 1.7258,                  1.597,                0.50633,                  0.505,                0.52775,                0.34377,                  1.283,                 1.6842,                 1.7292,              0.0010706,              0.0010706,              0.0010706
                     21,                  1.185,                 1.7015,                 1.5834,                0.60766,                0.45814,                0.51088,                0.31728,                 1.4113,                 1.7941,                  1.801,              0.0010517,              0.0010517,              0.0010517
                     22,                  1.147,                 1.6469,                 1.5618,                0.59185,                 0.4803,                0.52947,                0.34101,                 1.3405,                 1.7986,                 1.7425,              0.0010329,              0.0010329,              0.0010329
