                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94483,                 2.0967,                 2.0762,                 1.3121,                0.23732,                0.29615,                0.16668,                0.07892,                0.24073,                0.25785,                0.15092,                 0.0661,                 1.7679,                 3.3495,                 3.0502,                 2.1759,             0.00047537,             0.00047537,             0.00047537
                      2,                 1.2033,                    2.5,                 2.1356,                  1.484,                0.23195,                 0.2416,                0.16415,                0.07977,                0.25952,                0.19571,                0.14363,                0.05891,                 1.7268,                 3.1541,                 3.5348,                 2.1535,             0.00093914,             0.00093914,             0.00093914
                      3,                 1.1438,                 2.4753,                 2.0549,                 1.4447,                0.38897,                0.25976,                0.26886,                0.14815,                0.35607,                0.24488,                0.23309,                0.11456,                 1.6081,                  2.879,                 2.7226,                 2.0314,              0.0013903,              0.0013903,              0.0013903
                      4,                 1.0854,                 2.3316,                 1.9357,                 1.4055,                0.30693,                0.27977,                0.28546,                0.16161,                0.29348,                0.24442,                0.23055,                0.11289,                 1.5499,                 2.9988,                 2.4563,                 2.0193,              0.0013724,              0.0013724,              0.0013724
                      5,                 1.0003,                 2.2198,                 1.8248,                 1.3514,                0.36498,                0.40113,                0.34851,                0.21323,                0.35621,                0.32839,                0.28553,                0.14659,                 1.4328,                 2.6602,                 2.2723,                  1.834,              0.0013535,              0.0013535,              0.0013535
                      6,                0.92295,                 2.0331,                 1.7019,                  1.306,                0.52856,                0.43103,                  0.431,                0.28466,                0.50733,                0.39121,                0.38297,                0.22175,                 1.2189,                 2.2711,                 1.9501,                 1.6474,              0.0013347,              0.0013347,              0.0013347
                      7,                0.88103,                 1.9269,                 1.5945,                 1.2679,                0.65652,                0.39932,                0.47537,                 0.3276,                 0.6106,                0.39658,                0.42523,                0.25612,                  1.181,                 2.1852,                 1.8449,                 1.5882,              0.0013158,              0.0013158,              0.0013158
                      8,                0.85543,                 1.8391,                 1.5485,                 1.2482,                0.62161,                0.39551,                0.45732,                0.30669,                0.58925,                0.37746,                0.41131,                0.23757,                 1.2271,                 2.2066,                 1.9818,                 1.6848,               0.001297,               0.001297,               0.001297
                      9,                0.81041,                 1.7498,                 1.4487,                 1.2144,                0.58627,                0.47967,                0.49866,                0.35689,                0.56975,                0.46759,                0.46528,                0.29603,                 1.1295,                 2.0609,                 1.7887,                 1.5775,              0.0012781,              0.0012781,              0.0012781
                     10,                0.79166,                  1.682,                 1.3953,                 1.2088,                0.63261,                0.46458,                 0.5443,                0.39281,                0.61658,                0.45123,                0.50119,                0.32308,                 1.0809,                 1.9829,                 1.7027,                 1.5311,              0.0012592,              0.0012592,              0.0012592
                     11,                0.77495,                 1.6781,                 1.3687,                 1.1975,                0.62917,                0.52749,                0.56941,                 0.4052,                0.62504,                0.48716,                0.52437,                0.33471,                 1.0367,                 1.9047,                 1.6286,                 1.4542,              0.0012404,              0.0012404,              0.0012404
                     12,                0.74192,                 1.5894,                  1.302,                 1.1693,                0.60253,                0.55757,                 0.5943,                0.43077,                0.66933,                0.47562,                0.55197,                0.35314,                 1.0115,                 1.8259,                 1.5869,                 1.4567,              0.0012215,              0.0012215,              0.0012215
                     13,                0.72372,                 1.5495,                 1.2584,                 1.1546,                0.69095,                0.53764,                0.59782,                0.45665,                0.66462,                0.48889,                0.54537,                0.36903,                0.92841,                 1.8371,                 1.4876,                 1.3923,              0.0012026,              0.0012026,              0.0012026
                     14,                0.70445,                 1.5397,                  1.239,                  1.145,                0.69219,                0.54616,                0.60696,                0.45027,                0.68373,                0.52123,                0.56455,                0.37066,                0.95109,                 1.7898,                 1.5045,                 1.4099,              0.0011838,              0.0011838,              0.0011838
                     15,                0.68668,                 1.4945,                 1.2056,                 1.1419,                0.64127,                0.59403,                 0.6133,                0.45846,                0.63056,                0.55032,                0.56251,                0.37692,                0.93658,                 1.7161,                 1.4267,                 1.4073,              0.0011649,              0.0011649,              0.0011649
                     16,                0.67694,                 1.4465,                 1.1601,                 1.1291,                0.68607,                0.56639,                0.60881,                0.46848,                0.73415,                0.50427,                0.55636,                0.38708,                0.94198,                 1.7867,                 1.4426,                 1.4057,              0.0011461,              0.0011461,              0.0011461
                     17,                0.65692,                 1.4082,                 1.1476,                 1.1176,                0.73411,                0.54457,                 0.6246,                0.46838,                0.69895,                0.51411,                0.55823,                0.38663,                 1.0015,                 1.7987,                 1.4408,                 1.4555,              0.0011272,              0.0011272,              0.0011272
                     18,                0.65401,                 1.3851,                 1.1095,                 1.1194,                0.65563,                 0.6129,                0.63374,                0.49232,                0.63079,                 0.5861,                0.57908,                0.40737,                 0.9033,                 1.6697,                 1.3371,                 1.3572,              0.0011083,              0.0011083,              0.0011083
                     19,                0.64388,                 1.3621,                 1.0822,                 1.1044,                0.67806,                0.57507,                0.63687,                0.48024,                0.71124,                0.50898,                0.57544,                  0.386,                0.90629,                 1.7539,                 1.3777,                 1.3734,              0.0010895,              0.0010895,              0.0010895
                     20,                0.61582,                 1.2853,                 1.0221,                 1.0874,                0.71778,                0.57635,                0.63162,                0.50455,                0.70947,                0.55566,                0.59229,                 0.4157,                0.84792,                 1.6822,                 1.3765,                 1.3307,              0.0010706,              0.0010706,              0.0010706
                     21,                 0.6079,                 1.2898,                 1.0182,                 1.0792,                0.76435,                0.57961,                0.65834,                0.51054,                 0.7255,                0.56687,                0.61042,                0.42571,                0.89147,                 1.6633,                 1.3282,                 1.3631,              0.0010517,              0.0010517,              0.0010517
                     22,                0.60312,                 1.2815,                0.98995,                 1.0778,                0.75028,                0.57323,                0.65301,                0.51781,                0.78572,                0.55301,                0.63021,                0.43037,                0.82505,                  1.602,                 1.2932,                 1.3002,              0.0010329,              0.0010329,              0.0010329
                     23,                0.59072,                 1.2032,                0.95965,                 1.0702,                0.75135,                0.59367,                0.66407,                0.53799,                0.74939,                0.56957,                0.62102,                0.43957,                0.84926,                 1.6644,                 1.2426,                 1.3205,               0.001014,               0.001014,               0.001014
                     24,                0.57293,                 1.1796,                0.93194,                 1.0609,                0.78294,                0.58881,                0.66739,                0.52307,                0.76134,                0.57482,                0.62416,                0.44163,                0.85107,                 1.5807,                 1.2881,                 1.3221,             0.00099516,             0.00099516,             0.00099516
                     25,                0.56587,                  1.164,                0.92979,                 1.0525,                0.74038,                0.59955,                0.68409,                0.54179,                0.72104,                0.58012,                0.64221,                0.45223,                0.81814,                 1.5644,                 1.1831,                 1.2823,             0.00097629,             0.00097629,             0.00097629
                     26,                0.57415,                 1.1784,                0.93069,                 1.0549,                0.74146,                0.58543,                0.66892,                0.52429,                0.73022,                0.57945,                0.63393,                0.43827,                0.87736,                 1.6242,                 1.3254,                 1.3315,             0.00095743,             0.00095743,             0.00095743
                     27,                 0.5659,                 1.1393,                0.89113,                 1.0479,                0.80205,                0.60062,                0.69316,                0.55389,                0.81781,                0.57986,                0.65432,                0.46943,                0.83307,                 1.6404,                   1.21,                 1.2986,             0.00093857,             0.00093857,             0.00093857
